gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,avg_monthly_spend,num_services,charge_per_service,high_monthly_charges,engagement_score
-0.017820088,0.013240895,-0.17302768,0.08568786,0.63895553,0.5725271,0.116450906,0.15494666,-0.68954563,0.14902061,0.22357894,0.12523112,0.13196196,0.06903793,-0.5104727,0.14928535,0.013402585,0.24721076,0.29381505,-0.17324914,-0.1031162,0.0881365,0.17169715,0.18623018,-0.5931639,0.19915514,-0.48909974,-0.013175489,-0.35856247,0.0020371,0.0001929302
-0.068001166,-0.012285972,0.0074627437,0.06196062,-0.44729283,-0.12744263,0.16460194,-1.0179759,0.1069257,-0.3954911,0.1342152,0.06654235,0.03570844,-0.101921596,-0.26424426,-0.35876974,0.10418285,-1.253912,0.22918916,-0.15049389,-0.03632149,0.060908284,0.18602517,0.17827491,0.28679657,-1.0928855,-0.3982724,-0.013258028,0.04182302,0.0046564266,0.0045288517
-0.10264766,-0.009504769,0.042782944,0.06439295,0.5041392,-0.09374471,0.16652244,-0.9890235,-0.3631074,0.07159578,0.13268095,0.10146763,0.109333046,0.08375831,-0.25402963,0.20798843,-0.026073571,0.22489956,0.2585136,-0.11832723,-0.05804268,0.06857585,0.16988613,0.13759764,0.33797765,-1.1035275,-0.34853145,0.014236475,0.27141002,-0.000837921,0.001738837
0.011886367,0.0037044336,-0.06364015,0.070637316,-0.31812117,0.33141613,0.13062625,-0.74358046,0.068272136,-0.34807333,-0.7678914,0.099514745,0.042099163,-0.09929104,-0.48334536,-0.48175812,0.17456864,-1.1427013,0.21450976,-0.14498207,-0.028259095,0.036719132,-1.2209625,0.15633477,0.26055053,0.1716467,-0.34409645,-0.014554426,0.32370862,0.0047964077,0.015186268
0.1381202,0.032273978,0.06856476,0.06643973,0.3396772,-0.11488566,0.108042166,0.20537962,0.23255028,0.20820996,0.20182697,0.14305097,0.13509668,0.010665413,-0.009681331,0.037725944,0.06360948,0.27927783,0.30386108,0.05727075,0.073320694,0.10700525,0.1684072,0.17315324,-0.61399823,0.24936914,-0.1947586,-0.016854437,-1.1488899,-0.0026890584,-0.0021057513
0.14043045,0.02563219,0.00039691143,0.09839046,0.34410262,-0.06874617,-0.11681746,0.19633035,0.27276948,-0.5243596,0.20715378,-0.14759606,-0.2767195,0.07317654,0.8933697,0.15528215,0.04073333,0.2334693,0.30276942,0.054164045,0.12739024,0.09631654,0.14987287,0.1746443,-0.5514294,0.20087284,0.6000226,-0.012429047,0.2928249,-0.005595516,0.0034299185
-0.21405363,0.012410757,0.0804866,-0.4657265,-0.117200665,-0.06400144,-0.20364535,0.20077364,-0.45326936,0.20715955,0.1683593,-0.36943755,0.16804768,0.06176888,0.35797745,-0.24438986,-0.05055329,0.22208191,0.2717219,0.059089005,0.09103512,0.06717957,0.20726901,-1.3574263,0.34907222,0.23422648,0.2262957,0.04097446,-0.08260648,-0.0018051453,0.018431138
0.039504483,-0.0071829385,0.047690876,0.109355256,-0.09806172,0.45793056,0.13653937,-1.2405002,0.24477743,0.15091285,0.14315432,0.12939008,0.12304001,-0.08287427,-0.5458151,-0.080149196,-0.03677964,0.22946265,0.24628763,-0.113618635,-0.06439205,0.06885931,0.13983534,0.17559396,0.27740955,-1.4352634,-0.33639187,-0.026980579,-0.23595205,0.0022814441,-0.00088926504
0.09191126,0.025471047,-0.07759823,0.10496645,-0.29300854,-0.05511774,-0.12271022,0.14219846,0.35378966,-0.3703271,-1.0282063,-0.15864852,-0.24622607,0.044070814,0.8366836,0.02327208,-0.083445586,0.20139965,0.2548282,0.07790553,0.08205963,0.07089904,0.14922288,0.15948391,-0.48632884,0.22645716,0.48909304,0.03866713,0.5814615,-0.0059119533,0.00027142168
-0.058518022,0.010479219,-0.025904756,-0.3187258,-0.60849,-0.104811594,0.17780723,-0.8711448,-0.3675606,0.12049386,0.15801951,0.085371986,-0.010259365,-0.11928489,-0.20916517,-0.34259862,0.18682386,-1.1900681,0.21926466,-0.11645769,-0.011338507,0.044424932,-1.2915931,0.1383453,0.27932498,0.20950067,-0.3195518,0.0038606497,0.121071845,0.0032515833,0.008124258
-0.06851532,-0.011213141,-0.13728935,-0.56248856,-0.22438957,-0.10678564,0.110449225,-0.879307,0.23200588,0.13912778,0.103508815,0.07318607,0.13594668,0.030635383,-0.4860056,-0.076344766,-0.10331244,0.19851843,0.23357363,-0.09998179,-0.12995291,0.05220581,0.17100155,0.16249591,0.20198047,-1.1965907,-0.09362428,0.005780118,-0.06463762,-0.0019882824,0.0010620777
